step,total_loss,sigreg_proxy_loss,pred_loss,learning_rate,grad_norm_post
28201,3.042095e-05,2.927995e-05,1.141004e-06,1.300153e-04,5.655162e-03
28301,1.978108e-05,1.973146e-05,4.962446e-08,1.291001e-04,1.231575e-02
28401,6.108043e-06,5.851364e-06,2.566792e-07,1.281859e-04,2.151596e-03
28501,2.201255e-06,1.553587e-06,6.476681e-07,1.272729e-04,1.167269e-03
28601,2.384983e-05,2.326531e-05,5.845225e-07,1.263609e-04,1.379949e-02
28701,4.563937e-06,3.914912e-06,6.490246e-07,1.254502e-04,5.804431e-03
28801,6.385854e-06,5.701967e-06,6.838869e-07,1.245407e-04,2.024055e-03
28901,2.057864e-06,1.896791e-06,1.610729e-07,1.236324e-04,2.736797e-03
29001,8.306058e-06,7.967461e-06,3.385975e-07,1.227254e-04,5.517082e-03
29101,6.848246e-07,5.814634e-07,1.033613e-07,1.218197e-04,8.582428e-04
29201,1.284522e-05,1.074883e-05,2.096393e-06,1.209154e-04,4.019867e-03
29301,1.534798e-05,1.497925e-05,3.687282e-07,1.200125e-04,4.372492e-03
29401,5.866414e-06,5.511132e-06,3.552827e-07,1.191111e-04,4.721285e-03
29501,2.032381e-06,1.891565e-06,1.408160e-07,1.182111e-04,1.835063e-03
29601,1.003521e-05,9.623324e-06,4.118826e-07,1.173126e-04,3.065896e-03
29701,2.243755e-06,2.110747e-06,1.330086e-07,1.164157e-04,2.759278e-03
29801,2.436632e-05,2.333738e-05,1.028938e-06,1.155204e-04,1.338320e-02
29901,7.373515e-06,6.475321e-06,8.981943e-07,1.146266e-04,5.959506e-03
30001,7.805704e-06,7.442803e-06,3.629003e-07,1.137346e-04,4.504231e-03
30101,8.323557e-06,8.253970e-06,6.958709e-08,1.128442e-04,7.361877e-03
30201,5.862599e-06,5.616043e-06,2.465554e-07,1.119556e-04,1.010145e-03
30301,9.044146e-06,8.859402e-06,1.847435e-07,1.110687e-04,7.160110e-03
30401,2.952993e-06,2.866829e-06,8.616337e-08,1.101837e-04,1.991874e-03
30501,4.294119e-06,4.022578e-06,2.715410e-07,1.093005e-04,2.933607e-03
30601,2.369569e-06,2.167848e-06,2.017207e-07,1.084192e-04,2.582085e-03
30701,3.246334e-06,3.065495e-06,1.808387e-07,1.075397e-04,2.012522e-03
30801,5.253418e-06,4.954977e-06,2.984411e-07,1.066623e-04,1.474927e-03
30901,9.051098e-06,8.759704e-06,2.913934e-07,1.057868e-04,4.384128e-03
31001,1.851795e-05,1.815748e-05,3.604693e-07,1.049133e-04,1.031505e-02
31101,5.871889e-06,5.491091e-06,3.807987e-07,1.040419e-04,9.623746e-04
31201,9.470965e-06,9.191377e-06,2.795888e-07,1.031726e-04,3.099835e-03
31301,4.590187e-06,4.414715e-06,1.754722e-07,1.023055e-04,3.895711e-03
31401,1.007289e-05,1.003041e-05,4.248273e-08,1.014405e-04,8.733396e-03
31501,2.060637e-06,1.960931e-06,9.970611e-08,1.005777e-04,2.435830e-03
31601,7.721420e-06,7.170520e-06,5.509005e-07,9.971710e-05,3.703429e-03
31701,1.185235e-06,8.432909e-07,3.419443e-07,9.885881e-05,2.113696e-03
31801,1.622260e-06,1.533169e-06,8.909095e-08,9.800282e-05,2.756056e-03
31901,9.324841e-06,8.861522e-06,4.633189e-07,9.714918e-05,3.598101e-03
32001,2.606407e-06,2.507275e-06,9.913188e-08,9.629791e-05,3.702563e-03
